User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation
tamir_rimat,"Não entendo por que o pessoal da esquerda não entra com uma ação na justiça contra essas atitudes do Bolsonaro. Eles só acabam dando razão quando a gente diz q eles não prestam pra nada, pelo q tenho visto quem ta mais batendo no Bozo são os descontentes da direita q acordaram.",2020-07-19 23:57:28+00:00,0,2,,,
heuzebio,#PatriotasComBolsonaro,2020-07-19 23:57:07+00:00,0,1,,#PatriotasComBolsonaro,
MarcosCoca8,Minha mãe com 86 anos teve sintomas de covid-19 e logo no primeiro dia demos ivermectina. No dia seguinte a Prevent Sênior enviou Cloroquina e Azitromicina. Problema resolvido e ela já está ótima,2020-07-19 23:57:06+00:00,0,7,,,
VladsonAjala,"As atitudes do Bolsonaro reforçam a tese de que ele nem esteve doente, apenas criou isso para reforçar a ideia de que hidroxicloroquina funciona no combate à Covid-19. Será? Por enquanto, é só desconfiança mesmo.",2020-07-19 23:57:03+00:00,0,1,,,
caldeira_gisele,Parabéns João Pinheiro/MG.,2020-07-19 23:57:01+00:00,0,5,,,
pliniogoes,"Quem caiu hoje foi o pres do Supremo, Corte que @jose_neumanne não confia. Já @jairbolsonaro passa bem e até saudou o povo neste domingo. Exibiu uma caixa de HCQ, remédio barato e eficaz. Imprensa de Neumanne é culpada por não divulgá-lo. Ainda há tempo! ",2020-07-19 23:56:59+00:00,0,0,@jose_neumanne @jairbolsonaro,,
Rodjer80s1,"@jairbolsonaro não é a melhor opção, é a única!",2020-07-19 23:56:59+00:00,0,1,@jairbolsonaro,,
LETOSANDER,9º manifestação pró Bolsonaro na pandemia (19/JUL/2020) https://youtu.be/nb2OJzIri0o via @YouTube. Êita ferro! Tmj #FechadoComBolsonaroAte2026,2020-07-19 23:56:59+00:00,0,0,@YouTube,#FechadoComBolsonaroAte2026,
MarleneFFL,"Lembrete aos distraídos, ou o abecedário do crime por Marco Frenette A criminalidade esquerdista segue trabalhando arduamente nessas três frentes: a) Derrubada, um a um, dos assessores e ministros fiéis a Bolsonaro; b) Transferência cada vez maior, e buscando o caráter",2020-07-19 23:56:57+00:00,23,46,,,
MpMarcmaq,"Estamos juntos sempre presidente Bolsonaro. Nosso presidente, nosso orgulho. Para tristeza dos pão com mortadela, nosso presidente Bolsonaro vai bem obrigado. ",2020-07-19 23:56:57+00:00,0,1,,,
JpConfins,Engraçado ouvir isso de quem baba ovo do Bolsonaro.,2020-07-19 23:56:54+00:00,0,0,,,
gisellesb78,E KD quem deveria punir ele? Esse país tá sem lei.,2020-07-19 23:56:53+00:00,0,13,,,
caitolegal, ,2020-07-19 23:56:53+00:00,0,1,,,
dricodelima,Já pensou se esse povo que quer ficar fechado com Bolsonaro tivesse num lugar que não desse mais pra eles saírem? Não seria lindo?,2020-07-19 23:56:47+00:00,7,84,,,
ARRUDA_ALE,"INÉDITO 48 PEDIDOS DE IMPEACHMENT, E NADA ACONTECE! Alvo de 48 pedidos de impeachment, Bolsonaro diz que votos valerão até 2022 - ",2020-07-19 23:56:42+00:00,0,0,,,
chyrlan,"Sim, em 1986",2020-07-19 23:56:38+00:00,0,0,,,
CarlosGrillo,Certeza que não veria nada mais vergonhoso e boçal nesse fim-de-semana do que o desembargador dando carteirada no policial. Daí vem o Bolsonaro e levanta uma caixa de cloroquina para sua turba ovacionar em sinal de louvor. Que tristeza!,2020-07-19 23:56:36+00:00,2,22,,,
julio_kaminski,"O Miley ""assumiu"" o Brazil, após a operação Uphold Democracy no Haiti. Trump não manda nada. É Miley quem manda.",2020-07-19 23:56:34+00:00,0,0,,,
ArleanAndrei,"Xico,final de domingo,todo mundo no Twitter,e você me vêm com uma dessas?! Cansamos de falar para você, que o inimigo a ser combatido não era o Bolsanaro! Ele é o único que esta do lado povo,queira ou não,todos já sabem! Por onde ando, o povo simples o ama,pela sua verdade!",2020-07-19 23:56:33+00:00,0,0,,,
Rc7Augusto,"O Brasil quer saber quem encomendou a morte do Presidente Jair Messias Bolsonaro, este bandido deve estar protegendo gente graúda . O STF blindou este bandido. A Sociedade Brasileira quer saber quem foi o mandante desta tentativa de assassinato. E porque até agora nada foi feito. ",2020-07-19 23:56:28+00:00,4,5,,,
PoisVai,Só o bolsonaro sozinho matou 70 mil pessoas,2020-07-19 23:56:27+00:00,0,0,,,
tigosd,"Bolsonaro apresenta a cloroquina como se fosse imagem santa. Realmente é um governo que precisa desse milagre, pq uma vez comprovado a ineficácia do remédio contra a covid-19, tbm será provado a completa incompetência dele. E aí será o começo do fim. ",2020-07-19 23:56:25+00:00,0,1,,,
cla0702,Ué estão aqui #PatriotasComBolsonaro,2020-07-19 23:56:23+00:00,0,0,,#PatriotasComBolsonaro,
Saozinharodrigu,Alguns sem noção não usando máscaras. Depois a culpa é do presidente Bolsonaro apoiar sim #irresponsabilidadenão,2020-07-19 23:56:22+00:00,0,0,,#irresponsabilidaden,
Hea2154,"Sensacional! E sem nem ter pão com ""mortandela""!",2020-07-19 23:56:10+00:00,0,0,,,
tialulumm,Venci o COVID-19. Agora Vamos à luta pelo FORA BOLSONARO ! https://youtu.be/gpyV36WUxWI via @YouTube,2020-07-19 23:56:09+00:00,0,1,@YouTube,,
di_peixoto,Site de fofoca,2020-07-19 23:56:03+00:00,0,2,,,
gildaneteixeira,"DEMONSTRANDO que TRATAMENTO PRECOCE SALVA VIDAS, portanto NOSSO Pr @jairbolsonaro TEM RAZÃO. E genocida é quem impede as pessoas de terem acesso ao tratamento! #PatriotasComBolsonaro ",2020-07-19 23:56:03+00:00,0,0,@jairbolsonaro,#PatriotasComBolsonaro,
roldineli,Juro que não sei que irei rir da desculpa do Deputado ou da quantidade real de pessoas ,2020-07-19 23:56:01+00:00,0,0,,,
smoreira60,"Cuidado com as indenizações por danos morais, lembre-se que você agora é um desempregado e está ruendo beira de penico.",2020-07-19 23:56:00+00:00,0,0,,,
AntonioSeixasd1,,2020-07-19 23:55:59+00:00,2,6,,,
guimaraes13PT,"Ficará registrado na história a participação vergonhosa dos militares neste governo da morte, são quase 80 mil mortes por coronavírus e pelo descaso do Bolsonaro com a Saúde Pública, tiveram tempo para preparar o país, NÃO FIZERAM NADA, e o pior, continuam não fazendo NADA! ",2020-07-19 23:55:58+00:00,71,258,,,
Fabianoben,"Não é estranho Bolsonaro presidente, chefe da nação Brasileira, nunca ter dito as palavras: Se cuide ! Use máscaras ! Lave bem as mãos ! E fique em casa ! Não é estranho, ele nunca ter dito isso até hoje ?",2020-07-19 23:55:57+00:00,0,0,,,
MillerSS58,"O Bolsonaro desperta em mim os meus piores sentimentos e peço perdão a Deus p/ isso. Mas uma desgraça dessa q já viu q os institutos e países sérios já abandonaram o estudo com o medicamento, e, que ainda assim continua ""receitando"" como uma suposta cura, merece tudo de ruim.",2020-07-19 23:55:54+00:00,0,0,,,
SandraR11512169,"Bolsonaro, Bolsonaro, Bolsonaro... essa esqueceu até de como se analisa os indicadores. Fala e escreve para os mesmos.",2020-07-19 23:55:54+00:00,0,0,,,
